State,Datetime,AnomalyScore,AnomalyState,PID,Algorithm,DataDatetime,CPU(%),RAM(%),RDISK(Bytes),WDISK(Bytes),TOTALTIME(s)
Negativo,1714218053,-0.59042147814003,0,13471,svm,1714218053,9.35,1.59,880757,366,9.200000000000045
Negativo,1714218055,-0.49588228452386,0,13471,svm,1714218055,16.61,1.87,881530,1140,11.200000000000045
Negativo,1714218057,0.04073365188139,0,13471,svm,1714218057,42.2,3.64,882132,1741,13.200000000000045
Negativo,1714218059,-0.0407743891088,0,13471,svm,1714218059,66.78,5.76,882390,1999,15.200000000000045
Positivo,1714218061,0.3595232887191,1,13471,svm,1714218061,87.03,3.16,882755,2364,17.200000000000045
Negativo,1714218063,-0.26650585175501,0,13471,svm,1714218063,113.96,5.81,882877,2486,19.200000000000045
Negativo,1714218065,0.057962557976912,0,13471,svm,1714218065,136.08,4.9,882999,2608,21.200000000000045
Negativo,1714218067,0.092851861289258,0,13471,svm,1714218067,156.47,3.93,883316,2925,23.200000000000045
Negativo,1714218069,0.061033328304469,0,13471,svm,1714218069,172.9,4.97,883480,3089,25.200000000000045
Negativo,1714218071,0.0040321727272939,0,13471,svm,1714218071,188.05,4.55,883572,3181,27.200000000000045
Negativo,1714218073,0.045824223883964,0,13471,svm,1714218073,201.06,3.83,883834,3443,29.200000000000045
Negativo,1714218075,0.090306277111766,0,13471,svm,1714218075,211.86,4.81,884011,3620,31.200000000000045
Positivo,1714218077,0.20367391004958,1,13471,svm,1714218077,221.45,3.86,884153,3762,33.200000000000045
Positivo,1714218080,0.18067611268394,1,13471,svm,1714218080,229.83,3.78,884382,3991,35.200000000000045
Negativo,1714218082,0.054571777278983,0,13471,svm,1714218082,237.8,4.29,884637,4246,37.200000000000045
Negativo,1714218084,-0.029000082798561,0,13471,svm,1714218084,245.26,4.36,885004,4613,39.200000000000045
Negativo,1714218086,-0.12369040768146,0,13471,svm,1714218086,251.72,4.82,885217,4826,41.200000000000045
Negativo,1714218088,-0.14405665979344,0,13471,svm,1714218088,258.01,4.04,885458,5067,43.200000000000045
Negativo,1714218090,-0.20798266179948,0,13471,svm,1714218090,263.43,4.43,885669,5278,45.200000000000045
Negativo,1714218092,-0.22899176355379,0,13471,svm,1714218092,268.39,4.55,885846,5455,47.200000000000045
Negativo,1714218094,-0.22152912370969,0,13471,svm,1714218094,273.07,4.1,885979,5588,49.200000000000045
Negativo,1714218096,-0.20016787304392,0,13471,svm,1714218096,277.32,4.21,886239,5848,51.200000000000045
Negativo,1714218053,-0.59042147814003,0,13483,svm,1714218053,1.98,1.1,875502,98,9.1099999999999
Negativo,1714218055,-0.49588228452386,0,13483,svm,1714218055,20.25,2.3,880123,423,11.1099999999999
Negativo,1714218057,0.04073365188139,0,13483,svm,1714218057,20.14,2.48,880343,639,13.1099999999999
Negativo,1714218059,-0.0407743891088,0,13483,svm,1714218059,17.47,2.48,880371,667,15.1099999999999
Positivo,1714218061,0.3595232887191,1,13483,svm,1714218061,16.83,2.3,880417,714,17.1099999999999
Negativo,1714218063,-0.26650585175501,0,13483,svm,1714218063,15.12,2.31,880423,719,19.1099999999999
Negativo,1714218065,0.057962557976912,0,13483,svm,1714218065,13.78,2.31,880443,740,21.1099999999999
Negativo,1714218067,0.092851861289258,0,13483,svm,1714218067,12.72,2.03,880471,767,23.1099999999999
Negativo,1714218069,0.061033328304469,0,13483,svm,1714218069,11.71,2.03,880489,785,25.1099999999999
Negativo,1714218071,0.0040321727272939,0,13483,svm,1714218071,10.84,2.03,880497,793,27.1099999999999
Negativo,1714218073,0.045824223883964,0,13483,svm,1714218073,10.1,2.03,880497,793,29.1099999999999
Negativo,1714218075,0.090306277111766,0,13483,svm,1714218075,9.45,1.98,880509,805,31.1099999999999
Positivo,1714218077,0.20367391004958,1,13483,svm,1714218077,8.88,1.98,880509,805,33.1099999999999
Positivo,1714218080,0.18067611268394,1,13483,svm,1714218080,8.37,1.98,880509,805,35.1099999999999
Negativo,1714218082,0.054571777278983,0,13483,svm,1714218082,7.92,1.98,880509,805,37.1099999999999
Negativo,1714218084,-0.029000082798561,0,13483,svm,1714218084,7.52,1.95,880523,819,39.1099999999999
Negativo,1714218086,-0.12369040768146,0,13483,svm,1714218086,7.18,1.95,880540,836,41.1099999999999
Negativo,1714218088,-0.14405665979344,0,13483,svm,1714218088,6.84,1.95,880540,836,43.1099999999999
Negativo,1714218090,-0.20798266179948,0,13483,svm,1714218090,6.54,1.95,880540,836,45.1099999999999
Negativo,1714218092,-0.22899176355379,0,13483,svm,1714218092,6.26,1.94,880555,851,47.1099999999999
Negativo,1714218094,-0.22152912370969,0,13483,svm,1714218094,6.01,1.94,880557,853,49.1099999999999
Negativo,1714218096,-0.20016787304392,0,13483,svm,1714218096,5.77,1.94,880557,853,51.1099999999999
Negativo,1714218053,-0.59042147814003,0,13471,svm,1714218053,9.35,1.59,880757,366,9.200000000000045
Negativo,1714218055,-0.49588228452386,0,13471,svm,1714218055,16.61,1.87,881530,1140,11.200000000000045
Negativo,1714218057,0.04073365188139,0,13471,svm,1714218057,42.2,3.64,882132,1741,13.200000000000045
Negativo,1714218059,-0.0407743891088,0,13471,svm,1714218059,66.78,5.76,882390,1999,15.200000000000045
Positivo,1714218061,0.3595232887191,1,13471,svm,1714218061,87.03,3.16,882755,2364,17.200000000000045
Negativo,1714218063,-0.26650585175501,0,13471,svm,1714218063,113.96,5.81,882877,2486,19.200000000000045
Negativo,1714218065,0.057962557976912,0,13471,svm,1714218065,136.08,4.9,882999,2608,21.200000000000045
Negativo,1714218067,0.092851861289258,0,13471,svm,1714218067,156.47,3.93,883316,2925,23.200000000000045
Negativo,1714218069,0.061033328304469,0,13471,svm,1714218069,172.9,4.97,883480,3089,25.200000000000045
Negativo,1714218071,0.0040321727272939,0,13471,svm,1714218071,188.05,4.55,883572,3181,27.200000000000045
Negativo,1714218073,0.045824223883964,0,13471,svm,1714218073,201.06,3.83,883834,3443,29.200000000000045
Negativo,1714218075,0.090306277111766,0,13471,svm,1714218075,211.86,4.81,884011,3620,31.200000000000045
Positivo,1714218077,0.20367391004958,1,13471,svm,1714218077,221.45,3.86,884153,3762,33.200000000000045
Positivo,1714218080,0.18067611268394,1,13471,svm,1714218080,229.83,3.78,884382,3991,35.200000000000045
Negativo,1714218082,0.054571777278983,0,13471,svm,1714218082,237.8,4.29,884637,4246,37.200000000000045
Negativo,1714218084,-0.029000082798561,0,13471,svm,1714218084,245.26,4.36,885004,4613,39.200000000000045
Negativo,1714218086,-0.12369040768146,0,13471,svm,1714218086,251.72,4.82,885217,4826,41.200000000000045
Negativo,1714218088,-0.14405665979344,0,13471,svm,1714218088,258.01,4.04,885458,5067,43.200000000000045
Negativo,1714218090,-0.20798266179948,0,13471,svm,1714218090,263.43,4.43,885669,5278,45.200000000000045
Negativo,1714218092,-0.22899176355379,0,13471,svm,1714218092,268.39,4.55,885846,5455,47.200000000000045
Negativo,1714218094,-0.22152912370969,0,13471,svm,1714218094,273.07,4.1,885979,5588,49.200000000000045
Negativo,1714218096,-0.20016787304392,0,13471,svm,1714218096,277.32,4.21,886239,5848,51.200000000000045
Negativo,1714218098,-0.10947155096735,0,13471,svm,1714218098,281.13,5.02,886343,5952,53.200000000000045
Negativo,1714218053,-0.59042147814003,0,13483,svm,1714218053,1.98,1.1,875502,98,9.1099999999999
Negativo,1714218055,-0.49588228452386,0,13483,svm,1714218055,20.25,2.3,880123,423,11.1099999999999
Negativo,1714218057,0.04073365188139,0,13483,svm,1714218057,20.14,2.48,880343,639,13.1099999999999
Negativo,1714218059,-0.0407743891088,0,13483,svm,1714218059,17.47,2.48,880371,667,15.1099999999999
Positivo,1714218061,0.3595232887191,1,13483,svm,1714218061,16.83,2.3,880417,714,17.1099999999999
Negativo,1714218063,-0.26650585175501,0,13483,svm,1714218063,15.12,2.31,880423,719,19.1099999999999
Negativo,1714218065,0.057962557976912,0,13483,svm,1714218065,13.78,2.31,880443,740,21.1099999999999
Negativo,1714218067,0.092851861289258,0,13483,svm,1714218067,12.72,2.03,880471,767,23.1099999999999
Negativo,1714218069,0.061033328304469,0,13483,svm,1714218069,11.71,2.03,880489,785,25.1099999999999
Negativo,1714218071,0.0040321727272939,0,13483,svm,1714218071,10.84,2.03,880497,793,27.1099999999999
Negativo,1714218073,0.045824223883964,0,13483,svm,1714218073,10.1,2.03,880497,793,29.1099999999999
Negativo,1714218075,0.090306277111766,0,13483,svm,1714218075,9.45,1.98,880509,805,31.1099999999999
Positivo,1714218077,0.20367391004958,1,13483,svm,1714218077,8.88,1.98,880509,805,33.1099999999999
Positivo,1714218080,0.18067611268394,1,13483,svm,1714218080,8.37,1.98,880509,805,35.1099999999999
Negativo,1714218082,0.054571777278983,0,13483,svm,1714218082,7.92,1.98,880509,805,37.1099999999999
Negativo,1714218084,-0.029000082798561,0,13483,svm,1714218084,7.52,1.95,880523,819,39.1099999999999
Negativo,1714218086,-0.12369040768146,0,13483,svm,1714218086,7.18,1.95,880540,836,41.1099999999999
Negativo,1714218088,-0.14405665979344,0,13483,svm,1714218088,6.84,1.95,880540,836,43.1099999999999
Negativo,1714218090,-0.20798266179948,0,13483,svm,1714218090,6.54,1.95,880540,836,45.1099999999999
Negativo,1714218092,-0.22899176355379,0,13483,svm,1714218092,6.26,1.94,880555,851,47.1099999999999
Negativo,1714218094,-0.22152912370969,0,13483,svm,1714218094,6.01,1.94,880557,853,49.1099999999999
Negativo,1714218096,-0.20016787304392,0,13483,svm,1714218096,5.77,1.94,880557,853,51.1099999999999
